run,imp_wyldrate,crb_wyldrate,dth_wyldrate,dtl_wyldrate,round
1,0.321660071735282,0.22168014571733,0.147330329404266,0.0869771645515656,Round 1
2,0.3144846456574,0.26475456874376,0.164734303917879,0.14571119636926,Round 1
3,0.30827829985936,0.195898600973892,0.106144726377315,0.208943070917049,Round 1
4,0.278357123988499,0.304763079507387,0.0755158014079084,0.0743667592973944,Round 1
5,0.408469696800346,0.302028069835006,0.290556025322631,0.149582578259315,Round 1
6,0.312138344870758,0.36555057847591,0.156203115298456,0.0619681400197622,Round 1
7,0.388271952636962,0.308921390719906,0.171204236333899,0.0758343996806565,Round 1
8,0.384028894616331,0.224055859638873,0.164374446075838,0.102473947989699,Round 1
9,0.357493863165397,0.23461814993217,0.135324723993484,0.0967526329564189,Round 1
10,0.39055051791378,0.145160001084463,0.17820697615297,0.165425013110517,Round 1
11,0.309612597447423,0.1841951129893,0.146152610441542,0.067770144562006,Round 1
12,0.38259357750936,0.232411473933161,0.191180168349813,0.168781282154661,Round 1
13,0.329869352877431,0.152490822471326,0.287328077503211,0.162433980661609,Round 1
14,0.344811347189456,0.217784716166475,0.0458687858781713,0.207238009728289,Round 1
15,0.363384376747571,0.133087286185699,0.14357946336716,0.208966252843088,Round 1
16,0.25687722313565,0.185631914741538,0.200411811917399,0.124335566292183,Round 1
17,0.357312385657848,0.247576932761265,0.144462725690906,0.0310068511939462,Round 1
18,0.315128502350778,0.252803510206823,0.109098196170961,0.145540113673175,Round 1
19,0.381351323823859,0.342809737937535,0.20759528293954,0.188317920507313,Round 1
20,0.357845619362456,0.191624360160178,0.116887277601836,0.045866536338486,Round 1
21,0.340345284602306,0.162511444475034,0.0511906286400716,0.104531568205684,Round 1
22,0.354453195414045,0.289188714747123,0.0652837273361127,0.129805389547118,Round 1
23,0.444257093419789,0.197958490442178,0.191037678137885,0.101109433366065,Round 1
24,0.439074512376467,0.220352782353174,0.114059949363006,0.0409295010957305,Round 1
25,0.456393164686184,0.208139078733333,0.146519878208502,0.102624738006028,Round 1
26,0.428494302377481,0.415675206939843,0.0672074663448853,0.102161966996496,Round 1
27,0.385978261289862,0.271497381056966,0.0717166730640717,0.0243033664144875,Round 1
28,0.311251313952714,0.22768296219981,0.12321772349032,0.0674739721461938,Round 1
29,0.263542073820596,0.357327668073137,0.235211748336432,0.115060578736038,Round 1
30,0.327694385480782,0.293670056888807,0.225690333309601,0.113099055301831,Round 1
31,0.288119505015293,0.289419634689523,0.187761933851554,0.11206886539796,Round 1
32,0.373717249751052,0.270221358324533,0.0886547435593251,0.0538153278224709,Round 1
33,0.424747790551472,0.196978755631703,0.162329574040484,0.0666520592712436,Round 1
34,0.409680518756375,0.275995823007202,0.204685478811709,0.0969653312719249,Round 1
35,0.428341267613442,0.243951302619556,0.185611574671613,0.0590166807723755,Round 1
36,0.318518010797679,0.28604346500691,0.1497040547147,0.0700544723491475,Round 1
37,0.409921801047369,0.290690667244246,0.0646879987403782,0.201267757729553,Round 1
38,0.428790663533649,0.322722162575742,0.142780251787287,0.0831150196770936,Round 1
39,0.293289639424806,0.124229244242204,0.0698277295654775,0.0679896129137776,Round 1
40,0.270037658759128,0.204668864374451,0.183425132500233,0.162519739831656,Round 1
41,0.403870930095412,0.212923683735907,0.165020322402459,0.059283425725222,Round 1
42,0.450959520430819,0.306886122574296,0.121062479592843,0.0878670877462822,Round 1
43,0.372886990960555,0.178841025675354,0.0433638918440811,0.135021141657335,Round 1
44,0.384790388872159,0.208899226466243,0.18200340210399,0.122477944068484,Round 1
45,0.368538862983294,0.308812125537553,0.159407458179506,0.210791351359172,Round 1
46,0.380134991368209,0.345793173818591,0.186787982878528,0.0595491105953798,Round 1
47,0.352279096644789,0.143196941819033,0.072710992954276,0.18464641401846,Round 1
48,0.304852986519049,0.276875949035651,0.222835309048977,0.0563555788308319,Round 1
49,0.380141934894334,0.228076062666452,0.234326521521858,0.198059910944701,Round 1
50,0.472705388130848,0.274423961780433,0.2526080733807,0.115313450129499,Round 1
51,0.405230595972203,0.107528663703928,0.211628681897382,0.140070635575074,Round 1
52,0.320412628021704,0.160596471870721,0.110921223609894,0.0918947823618622,Round 1
53,0.445764417395184,0.332102036497633,0.156277058768593,0.0448278526725688,Round 1
54,0.341507972948982,0.264113933238843,0.237743029828922,0.199076334098882,Round 1
55,0.313123646806834,0.173053380964512,0.138078394106626,0.0729296436688433,Round 1
56,0.251290853716846,0.17572096296802,0.194812903585006,0.0514659904863897,Round 1
57,0.36460870256948,0.204431420857992,0.108968337481285,0.104323961601862,Round 1
58,0.355517921864827,0.161060660738118,0.116126224241143,0.0500949738015538,Round 1
59,0.443344774173827,0.180720742326063,0.261606730457171,0.163397939868466,Round 1
60,0.405997849989227,0.358976501451111,0.235023649599135,0.181274979683743,Round 1
61,0.437549054340389,0.162662575573875,0.127906985770633,0.127897206984859,Round 1
62,0.404188692285243,0.270407012169518,0.170579429888775,0.0732138529652281,Round 1
63,0.394859313585701,0.209537197656865,0.0595099627098656,0.126007560932164,Round 1
64,0.352018024767794,0.161708273130437,0.10525583810163,0.123329150819243,Round 1
